DirectorID,First,Middle,Last,URL,YOB,CountryID
1,Adam,,McKay,https://www.imdb.com/name/nm0570912/,1968,23
2,Adam,,Shankman,https://www.imdb.com/name/nm0788202/,1964,23
3,Alan,,Taylor,https://www.imdb.com/name/nm0851930/,,
4,Alejandro,G.,Iñárritu,https://www.imdb.com/name/nm0327944/,,
5,Alex,,Proyas,https://www.imdb.com/name/nm0001639/,1963,7
6,Alfonso,,Cuarón,https://www.imdb.com/name/nm0190859/,1961,15
7,André,,Øvredal,https://www.imdb.com/name/nm0004217/,,
8,Andrew,,Adamson,https://www.imdb.com/name/nm0011470/,1966,16
9,Andrew,,Stanton,https://www.imdb.com/name/nm0004056/,1965,23
10,Andrey,,Zvyagintsev,https://www.imdb.com/name/nm1168657/,1964,17
11,Andy,,Tennant,https://www.imdb.com/name/nm0855035/,1955,23
12,Ang,,Lee,https://www.imdb.com/name/nm0000487/,1954,21
13,Angelina,,Jolie,https://www.imdb.com/name/nm0001401/,,
14,Anthony,,Russo,https://www.imdb.com/name/nm0751577/,1970,23
15,Antoine,,Fuqua,https://www.imdb.com/name/nm0298807/,1965,23
16,Ashutosh,,Gowariker,https://www.imdb.com/name/nm0332950/,1964,10
17,Baz,,Luhrmann,https://www.imdb.com/name/nm0525303/,,
18,Ben,,Affleck,https://www.imdb.com/name/nm0000255/,1972,23
19,Ben,,Stiller,https://www.imdb.com/name/nm0001774/,,
20,Bill,,Condon,https://www.imdb.com/name/nm0174374/,1955,23
21,Bob,,Peterson,https://www.imdb.com/name/nm0677037/,,
22,Brad,,Bird,https://www.imdb.com/name/nm0083348/,1957,23
23,Brad,,Silberling,https://www.imdb.com/name/nm0797869/,1963,23
24,Brenda,,Chapman,https://www.imdb.com/name/nm0152312/,1962,23
25,Brett,,Ratner,https://www.imdb.com/name/nm0711840/,,
26,Brian,,Oakes,https://www.imdb.com/name/nm2200708/,,
27,Bryan,,Singer,https://www.imdb.com/name/nm0001741/,1965,23
28,Byron,,Howard,https://www.imdb.com/name/nm0397174/,1968,12
29,Carlos,,Saldanha,https://www.imdb.com/name/nm0757858/,1965,3
30,Catherine,,Hardwicke,https://www.imdb.com/name/nm0362566/,,
31,Chris,,Buck,https://www.imdb.com/name/nm0118333/,1958,23
32,Chris,,Columbus,https://www.imdb.com/name/nm0001060/,1958,23
33,Chris,,Miller,https://www.imdb.com/name/nm1844237/,1968,23
